state_abr,state_fips,state,district,candidate_name_first,candidate_name_last,candidate,party,general_votes,general_perc,runoff_votes_LA_only,runoff_perc_LA_only,combined_general_votes_CT_NY_SC_only,combined_general_perc_CT_NY_SC_only,winner
AR,05,Arkansas,02,Dianne ,Curry,Dianne  Curry,D,"111,347",0.368133067,,,,,
AR,05,Arkansas,02,Chris,Hayes,Chris Hayes,LIB,"14,342",0.047417213,,,,,
AR,05,Arkansas,02,,Scattered,Scattered,W,303,0.001001772,,,,,
AR,05,Arkansas,02,,,Total Votes,,"302,464",,,,,,
AR,05,Arkansas,03,Steve,Womack,Steve Womack,R,"217,192",0.77318116,,,,,W
AR,05,Arkansas,03,Steve,Isaacson,Steve Isaacson,LIB,"63,715",0.22681884,,,,,
AR,05,Arkansas,03,,,Total Votes,,"280,907",,,,,,
AR,05,Arkansas,04,Bruce,Westerman,Bruce Westerman,R,"182,885",0.749040584,,,,,W
AR,05,Arkansas,04,Kerry,Hicks,Kerry Hicks,LIB,"61,274",0.250959416,,,,,
AR,05,Arkansas,04,,,Total Votes,,"244,159",,,,,,
CA,06,California,01,Doug,La Malfa,Doug La Malfa,R,"185,448",0.590531022,,,,,W
CA,06,California,01,Jim,Reed,Jim Reed,D,"128,588",0.409468978,,,,,
CA,06,California,01,,,Total Votes,,"314,036",,,,,,
CA,06,California,02,Jared W.,Huffman,Jared W. Huffman,D,"254,194",0.768500995,,,,,W
CA,06,California,02,Dale K.,Mensing,Dale K. Mensing,R,"76,572",0.231499005,,,,,
CA,06,California,02,,,Total Votes,,"330,766",,,,,,
CA,06,California,03,John G.,Garamendi,John G. Garamendi,D,"152,513",0.593514317,,,,,W
CA,06,California,03,N. Eugene,Cleek,N. Eugene Cleek,R,"104,453",0.406485683,,,,,
CA,06,California,03,,,Total Votes,,"256,966",,,,,,
CA,06,California,04,Tom,McClintock,Tom McClintock,R,"220,133",0.627198856,,,,,W
CA,06,California,04,Robert W.,Derlet,Robert W. Derlet,D,"130,845",0.372801144,,,,,
CA,06,California,04,,,Total Votes,,"350,978",,,,,,
CA,06,California,05,Mike ,Thompson,Mike  Thompson,D,"224,526",0.768685102,,,,,W
CA,06,California,05,Carlos,Santamaria,Carlos Santamaria,R,"67,565",0.231314898,,,,,
CA,06,California,05,,,Total Votes,,"292,091",,,,,,
CA,06,California,06,Doris,Matsui,Doris Matsui,D,"177,565",0.754270155,,,,,W
CA,06,California,06,Robert (Bob),Evans,Robert (Bob) Evans,R,"57,848",0.245729845,,,,,
CA,06,California,06,,,Total Votes,,"235,413",,,,,,
CA,06,California,07,Ami,Bera,Ami Bera,D,"152,133",0.511713718,,,,,W
CA,06,California,07,Scott R.,Jones,Scott R. Jones,R,"145,168",0.488286282,,,,,
CA,06,California,07,,,Total Votes,,"297,301",,,,,,
CA,06,California,08,Paul ,Cook,Paul  Cook,R,"136,972",0.622580191,,,,,W
CA,06,California,08,Rita,Ramirez,Rita Ramirez,D,"83,035",0.377419809,,,,,
CA,06,California,08,,,Total Votes,,"220,007",,,,,,
CA,06,California,09,Jerry,McNerney,Jerry McNerney,D,"133,163",0.573595227,,,,,W
CA,06,California,09,"Antonio C. ""Tony""",Amador,"Antonio C. ""Tony"" Amador",R,"98,992",0.426404773,,,,,
CA,06,California,09,,,Total Votes,,"232,155",,,,,,
CA,06,California,10,Jeff,Denham,Jeff Denham,R,"124,671",0.517004574,,,,,W
CA,06,California,10,Michael  ,Eggman,Michael   Eggman,D,"116,470",0.482995426,,,,,
CA,06,California,10,,,Total Votes,,"241,141",,,,,,
CA,06,California,11,Mark,DeSaulnier,Mark DeSaulnier,D,"214,868",0.72052822,,,,,W
CA,06,California,11,Roger Allen,Petersen,Roger Allen Petersen,R,"83,341",0.27947178,,,,,
CA,06,California,11,,,Total Votes,,"298,209",,,,,,
CA,06,California,12,Nancy ,Pelosi,Nancy  Pelosi,D,"274,035",0.808732606,,,,,W
CA,06,California,12,Preston,Picus,Preston Picus,NOP,"64,810",0.191267394,,,,,
CA,06,California,12,,,Total Votes,,"338,845",,,,,,
CA,06,California,13,Barbara,Lee,Barbara Lee,D,"293,117",0.907845548,,,,,W
CA,06,California,13,Sue,Caro,Sue Caro,R,"29,754",0.092154452,,,,,
CA,06,California,13,,,Total Votes,,"322,871",,,,,,
CA,06,California,14,Jackie,Speier,Jackie Speier,D,"231,630",0.808631265,,,,,W
